會計項目,流動比率,速動比率,利息保障倍數,毛利率,存貨週轉率,負債比,稅後淨利率,ROE,ROA,股票代碼,股票名稱,股票類別,判斷
2018,216.6,172.02,41.68,25.8,4.99,33.96,5.38,8.23,5.47,6214,精誠,資訊服務業,2018_6214
2019,136.28,74.75,11.05,30.41,1.53,51.56,3.82,5.35,2.9,2427,三商電,資訊服務業,2019_2427
2019,150.76,131.77,10.99,21.05,12.1,57.97,2.11,7,3.59,2453,凌群,資訊服務業,2019_2453
2019,191.42,158.87,54.27,9.48,11.18,40.34,2.07,4.05,2.69,2468,華經,資訊服務業,2019_2468
2019,192.34,125.86,335.93,24.36,2.64,45.29,8.09,16.42,8.89,2480,敦陽科,資訊服務業,2019_2480
2019,162,114.39,214.4,10.05,7.09,53.57,3.92,15.08,7.29,3029,零壹,資訊服務業,2019_3029
2019,421.14,420.11,3899.29,87.08,25.58,23.92,26.12,9.47,7.11,5203,訊連,資訊服務業,2019_5203
2019,231.16,123.75,36.94,10.16,3.87,41.48,3.37,11.65,5.91,6112,邁達特,資訊服務業,2019_6112
2019,255.93,255.89,1028.08,38.36,5384.96,23.97,17,13.48,10.13,6183,關貿,資訊服務業,2019_6183
2019,195.14,154.14,66.78,25.17,5.54,37.54,8.21,13.58,8.85,6214,精誠,資訊服務業,2019_6214
2020,142.42,79.44,12.45,32.59,1.54,49.47,3.83,5.24,2.82,2427,三商電,資訊服務業,2020_2427
2020,160.41,135.09,24.2,22.77,8.95,55.83,2.9,9,4.04,2453,凌群,資訊服務業,2020_2453
2020,183.81,148.14,64.53,10.28,7.26,41.72,1.79,3.41,2.04,2468,華經,資訊服務業,2020_2468
2020,175.04,105.31,360.8,24.85,2.43,50.74,8.98,17.69,9.19,2480,敦陽科,資訊服務業,2020_2480
2020,167.54,122.78,261.2,10.64,6.86,51.21,4.48,17.29,8.27,3029,零壹,資訊服務業,2020_3029
2020,317.78,316.85,1049,88.67,26.45,25.65,11.48,4.71,3.55,5203,訊連,資訊服務業,2020_5203
2020,207.86,115.44,75,12,4.03,44.2,4.26,12.59,7.29,6112,邁達特,資訊服務業,2020_6112
2020,222,221.97,524.62,39.89,5854.76,29.71,17.75,15.23,11.14,6183,關貿,資訊服務業,2020_6183
2020,199.24,158.87,59.09,24.44,5.76,38.04,7.06,12.35,7.82,6214,精誠,資訊服務業,2020_6214
2021,141.71,71.62,15.9,30.64,1.72,50.1,4.28,6.62,3.55,2427,三商電,資訊服務業,2021_2427
2021,163.93,150.23,56.71,24.27,10.41,53.36,3.66,11.11,5.13,2453,凌群,資訊服務業,2021_2453
2021,200.27,181.29,34.8,10.8,9.14,38.19,2.08,3.91,2.41,2468,華經,資訊服務業,2021_2468
2021,187.13,112.42,551.2,24.3,2.52,47.82,9.7,21.82,11.09,2480,敦陽科,資訊服務業,2021_2480
2021,184.2,139.73,286.25,10.06,8.02,48.62,4.16,16.21,8.18,3029,零壹,資訊服務業,2021_3029
2021,187.76,104.72,40.32,12.98,3.61,47.12,5,13.28,7.4,6112,邁達特,資訊服務業,2021_6112
2021,176.39,176.37,398.57,40.6,6876.04,39.85,19.05,18.63,12.09,6183,關貿,資訊服務業,2021_6183
2021,208.14,173.03,33.66,22.54,7.13,48,4.14,8.91,5.19,6214,精誠,資訊服務業,2021_6214
2016,122.63,82.25,9.72,3.54,9.59,65.67,1.5,11.68,4.35,2347,聯強,電子通路業,2016_2347
2016,160.66,113.65,32.12,9.42,9.62,51.16,1.54,8.28,4.2,2414,精技,電子通路業,2016_2414
2016,102.96,42.47,1545.37,15.74,6.42,51.77,2.1,9.98,4.75,2430,燦坤,電子通路業,2016_2430
2016,161.03,131.69,15.57,9.49,9.92,56.51,2.9,10.63,4.74,3010,華立,電子通路業,2016_3010
2016,152.34,98.95,6.08,5.98,5.19,62.57,1.31,5.96,2.73,3028,增你強,電子通路業,2016_3028
2016,138.28,80.56,3.69,5.57,5.69,73.65,0.89,7.79,2.96,3033,威健,電子通路業,2016_3033
2016,133.59,81.87,8,4.8,7.09,72.47,1.18,10.05,3.58,3036,文曄,電子通路業,2016_3036
2016,128.02,57.67,1.83,3.03,8.84,79.64,0.31,7.35,3.7,3048,益登,電子通路業,2016_3048
2016,246.95,235.65,304.08,21.23,22,35.07,3.94,4.86,3.28,3055,蔚華科,電子通路業,2016_3055
2016,122.21,67.82,4.02,4.55,7.99,80.13,0.92,11.91,3.71,3209,全科,電子通路業,2016_3209
2016,181.09,153.51,6.72,6.33,12.67,54.18,0.67,3.92,1.73,3312,弘憶股,電子通路業,2016_3312
2016,255.4,129.33,30.29,13.73,2.78,37.73,5.34,12.89,7.76,3528,安馳,電子通路業,2016_3528
2016,135.15,94.32,5.97,4.21,10.26,71.89,1,10.85,3.59,3702,大聯大,電子通路業,2016_3702
2016,141.52,98.93,69.49,12.9,9.03,51.74,5.32,19.51,9.97,5434,崇越,電子通路業,2016_5434
2016,178.48,122.44,23.29,8.19,6.86,55.13,2.54,13.38,6.39,6189,豐藝,電子通路業,2016_6189
2016,179.09,160.33,29.64,8.81,11.81,37.84,7.67,13.34,7.43,8070,長華*,電子通路業,2016_8070
2016,123.82,86.2,6.59,2.78,18.27,76.55,1.17,20.52,6.64,8112,至上,電子通路業,2016_8112
2017,121.14,81.45,14.62,3.53,10.05,66.31,1.76,14.15,5.16,2347,聯強,電子通路業,2017_2347
2017,169.53,118.94,54.64,9.35,10.85,47.85,1.64,9.09,4.67,2414,精技,電子通路業,2017_2414
2017,101.09,41.58,98757,15.16,6.17,52.77,1.31,5.7,2.72,2430,燦坤,電子通路業,2017_2430
2017,169.89,137.25,19.26,9.13,11.17,56.68,3.58,13.56,6.21,3010,華立,電子通路業,2017_3010
2017,141.27,85.75,5.43,5.36,5.38,67.9,1.57,9.03,3.82,3028,增你強,電子通路業,2017_3028
2017,135.18,68.43,4.19,5.4,5.34,74.44,1.22,11.84,4.04,3033,威健,電子通路業,2017_3033
2017,134.13,71,6.65,4.45,6.55,73.28,1.33,13.63,4.34,3036,文曄,電子通路業,2017_3036
2017,130.57,54.83,2,3.26,9.12,77.72,0.48,11.23,4.79,3048,益登,電子通路業,2017_3048
2017,273.3,269.06,47.49,21.86,22.21,31.46,1.46,1.49,1.01,3055,蔚華科,電子通路業,2017_3055
2017,169.35,76.92,2.88,4.09,5.78,76.15,0.9,11.77,3.94,3209,全科,電子通路業,2017_3209
2017,154.14,127.49,-14.79,4.65,15.8,65.95,-2.57,-17.08,-6.38,3312,弘憶股,電子通路業,2017_3312
2017,197.25,108.79,15.46,11.97,3.07,48.74,4.3,11.83,7.1,3528,安馳,電子通路業,2017_3528
2017,138.67,90.03,6.38,4.16,9.5,70.86,1.38,14.39,4.88,3702,大聯大,電子通路業,2017_3702
2017,151.69,113.17,53.04,12.36,8.2,49.02,4.2,14.28,7.23,5434,崇越,電子通路業,2017_5434
2017,184.35,126.36,16.27,8.31,7.09,53.19,2.17,10.81,5.28,6189,豐藝,電子通路業,2017_6189
2017,183.93,151.56,20.63,14.06,11.37,46.32,7.88,15.42,9.21,8070,長華*,電子通路業,2017_8070
2017,162.78,100.11,4.64,2.74,12.83,72.23,1.28,20.9,6.79,8112,至上,電子通路業,2017_8112
2018,120.87,78.97,12.38,3.78,9.57,66.54,1.8,14.38,5.25,2347,聯強,電子通路業,2018_2347
2018,167.85,117.77,60.36,9,11.24,48.68,1.52,8.5,4.47,2414,精技,電子通路業,2018_2414
2018,99.67,35.22,2045.9,14.97,6.36,49.03,1.08,4.71,2.31,2430,燦坤,電子通路業,2018_2430
2018,157.24,124.69,9.57,7.95,11.04,61.02,2.81,12.28,5.62,3010,華立,電子通路業,2018_3010
2018,131.3,83.53,3.62,5.83,5.14,73.88,1.32,8.91,3.56,3028,增你強,電子通路業,2018_3028
2018,130.16,60.78,3.35,6.42,4.2,77.28,1.18,11.13,3.81,3033,威健,電子通路業,2018_3033
2018,124.69,58.93,5.01,3.89,6.57,76.76,1.02,13.27,4.11,3036,文曄,電子通路業,2018_3036
2018,123.47,49.07,1.51,3.17,8.76,80.82,0.3,7.4,4.52,3048,益登,電子通路業,2018_3048
2018,278.59,263.58,4819.54,22.36,27.73,29.42,2.73,3.46,2.4,3055,蔚華科,電子通路業,2018_3055
2018,131.77,65.81,2.22,4.57,5.41,76.15,0.68,8.09,3.51,3209,全科,電子通路業,2018_3209
2018,153.52,131.27,7.77,4.53,17.04,64.98,1.41,11.35,4.51,3312,弘憶股,電子通路業,2018_3312
2018,178.67,96.25,7.9,13.94,2.75,54.54,4.3,12.41,6.84,3528,安馳,電子通路業,2018_3528
2018,143.1,91.89,5.02,4.33,8.53,72.04,1.38,14.06,5.01,3702,大聯大,電子通路業,2018_3702
2018,147.87,113.54,73.54,11.79,9.89,50.19,4.79,17.09,8.72,5434,崇越,電子通路業,2018_5434
2018,176.94,114.65,14.72,9.04,6.75,54.01,2.97,14.79,7.36,6189,豐藝,電子通路業,2018_6189
2018,169.32,135.61,45.83,14.73,8.16,48.76,8.35,15.74,8.44,8070,長華*,電子通路業,2018_8070
2018,159.27,111.12,3.39,2.68,15.06,72.64,1.1,19.45,7.6,8112,至上,電子通路業,2018_8112
2019,119.04,85.5,13.42,4.33,8.97,64.83,2.12,14.25,5.28,2347,聯強,電子通路業,2019_2347
2019,146.34,103.02,33.55,8.6,11.66,55.7,1.58,9.7,4.75,2414,精技,電子通路業,2019_2414
2019,83.88,34.57,3.38,15.89,6.57,64.62,1.12,4.51,2.68,2430,燦坤,電子通路業,2019_2430
2019,161.59,135.55,8.18,7.65,11.29,61.39,2.85,12.14,5.36,3010,華立,電子通路業,2019_3010
2019,139.77,96.33,2.59,5.5,5.1,69.03,0.85,5.26,2.43,3028,增你強,電子通路業,2019_3028
2019,131.89,70.63,1.84,5.75,3.81,75.77,0.54,4.54,2.32,3033,威健,電子通路業,2019_3033
2019,127.06,66.55,4.19,3.22,7,76.84,0.76,11.18,3.41,3036,文曄,電子通路業,2019_3036
2019,121.91,68.16,1.71,2.93,10.64,81.85,0.38,10.88,4.87,3048,益登,電子通路業,2019_3048
2019,165.48,146.43,2.59,18.77,8.47,50.21,0.48,0.56,0.54,3055,蔚華科,電子通路業,2019_3055
2019,151.62,78.09,2.57,3.86,7.2,73.2,0.75,10.44,4.32,3209,全科,電子通路業,2019_3209
2019,140.71,120.18,9.06,4.71,19.75,70.35,1.22,11.31,4.07,3312,弘憶股,電子通路業,2019_3312
2019,177.75,100.01,6.62,13.09,2.58,55.14,4.41,12.5,6.65,3528,安馳,電子通路業,2019_3528
2019,131.22,88.08,4.82,4.25,7.63,72.23,1.23,10.95,3.85,3702,大聯大,電子通路業,2019_3702
2019,148.02,110.22,73,12.36,9.32,51.47,5.42,18.95,9.44,5434,崇越,電子通路業,2019_5434
2019,162.9,114.79,6.9,7.91,7.53,59.71,2.36,13.35,6.71,6189,豐藝,電子通路業,2019_6189
2019,139.68,61.96,21.8,18.7,6.21,67.94,2.51,18.19,7.61,6281,全國電,電子通路業,2019_6281
2019,170.34,142.17,35.27,13.84,7.92,55.33,9.09,17.35,8.53,8070,長華*,電子通路業,2019_8070
2019,153.3,108.78,4.11,3,13.62,70.65,1.29,17.25,6.46,8112,至上,電子通路業,2019_8112
2020,119.52,89.16,21.52,4.52,10.2,64.4,2.55,15.7,5.83,2347,聯強,電子通路業,2020_2347
2020,146.11,105.37,32.44,8.01,13.07,54.8,1.72,11.69,5.4,2414,精技,電子通路業,2020_2414
2020,90.68,46.84,5.61,15.59,7.36,65.74,1.58,6.52,2.76,2430,燦坤,電子通路業,2020_2430
2020,158.23,133.95,13.88,8.13,13.2,61.53,3.46,14.52,6.03,3010,華立,電子通路業,2020_3010
2020,129.82,85.04,5.54,4.71,6.21,75.11,1.37,10.25,3.44,3028,增你強,電子通路業,2020_3028
2020,145.44,93.86,4.71,5.25,6.04,73.42,1.2,11.91,3.84,3033,威健,電子通路業,2020_3033
2020,134.47,80.83,9.41,3.05,7.6,64.8,1.07,10.9,3.65,3036,文曄,電子通路業,2020_3036
2020,119.61,76.75,3.42,2.7,13.43,84.05,0.64,19.46,4.65,3048,益登,電子通路業,2020_3048
2020,142.96,92.31,5.51,3.87,8.76,72.7,1.08,14.1,4.66,3209,全科,電子通路業,2020_3209
2020,135.96,114.76,12.74,4.94,17.51,73.04,1.44,13.66,4.18,3312,弘憶股,電子通路業,2020_3312
2020,180.19,106.08,14.03,11.01,3.32,54.21,4.2,14.03,6.85,3528,安馳,電子通路業,2020_3528
2020,135.02,96.08,6.13,3.78,9.4,71.79,1.34,12.62,4.22,3702,大聯大,電子通路業,2020_3702
2020,152.87,119.03,95.2,11.9,9.81,50.64,5.71,20.53,10.16,5434,崇越,電子通路業,2020_5434
2020,174.68,137.29,11.04,7.56,9.75,64.6,2.26,14.57,6.03,6189,豐藝,電子通路業,2020_6189
2020,139.71,65.84,27.53,18.51,6.42,68.17,2.99,23,7.62,6281,全國電,電子通路業,2020_6281
2020,176.98,147.26,20.45,14.9,7.93,61.77,8.29,16.06,6.93,8070,長華*,電子通路業,2020_8070
2020,158.06,99.71,6.27,2.64,12.18,78.41,1.33,21.33,6.3,8112,至上,電子通路業,2020_8112
2021,128.33,91.46,48.4,4.31,9.95,67.33,4.35,28.97,10.05,2347,聯強,電子通路業,2021_2347
2021,162.2,118.23,78.06,8.83,13.5,51.62,2.4,15.75,7.49,2414,精技,電子通路業,2021_2414
2021,96.76,54.87,12.61,15.9,7.98,67.29,2.88,13.11,4.76,2430,燦坤,電子通路業,2021_2430
2021,160.96,135.5,24.7,8.48,13.61,61.39,4.41,19.06,7.66,3010,華立,電子通路業,2021_3010
2021,128.29,73.15,10.29,5.91,5.26,75.71,2.09,17.39,4.73,3028,增你強,電子通路業,2021_3028
2021,145.16,89.18,15.5,7.13,7.41,70.86,2.38,24.42,7.3,3033,威健,電子通路業,2021_3033
2021,134.86,74.71,23.49,3.79,7.78,68.93,1.75,15.71,5.39,3036,文曄,電子通路業,2021_3036
2021,114.82,57.2,6.27,3.17,10.33,83.9,1.05,28.28,5.39,3048,益登,電子通路業,2021_3048
2021,127.99,80.82,13.33,5.19,9.45,75.21,1.67,21.4,5.99,3209,全科,電子通路業,2021_3209
2021,130,109.12,18.45,5.79,18.8,74.07,2.36,26.34,7.35,3312,弘憶股,電子通路業,2021_3312
2021,149.56,74.38,22.78,12.09,3.02,63.21,4.78,17.86,7.54,3528,安馳,電子通路業,2021_3528
2021,135.25,87.93,7.81,3.81,10.45,75.25,1.5,16.98,5.12,3702,大聯大,電子通路業,2021_3702
2021,146.8,117.82,89.81,12.22,11.47,52.81,5.39,20.48,9.98,5434,崇越,電子通路業,2021_5434
2021,156.19,114.88,19.79,7.29,10.33,67.1,2.61,18.32,6.56,6189,豐藝,電子通路業,2021_6189
2021,131.76,62.28,26.18,18.78,6.23,70.73,2.89,22.51,7.13,6281,全國電,電子通路業,2021_6281
2021,176.84,146.68,32.46,20.07,7.55,51.43,12.04,21.05,9.57,8070,長華*,電子通路業,2021_8070
2021,624.69,512.11,138.14,16.7,4.59,11.88,3.19,1.91,1.71,8072,陞泰,電子通路業,2021_8072
2021,146.26,69.99,10.16,3.18,9.17,79.26,1.51,30.18,7.06,8112,至上,電子通路業,2021_8112
2016,161.11,140.25,-565.95,-4.91,10.18,26.7,-32.44,-18.97,-14.82,1471,首利,電子零組件業,2016_1471
2016,312.67,289.97,110.34,23.78,12.24,38.39,9.95,16.26,9.97,1582,信錦,電子零組件業,2016_1582
2016,170.31,138.37,65.62,27.75,6.21,45.13,8.99,14.9,8.48,2308,台達電,電子零組件業,2016_2308
2016,169.47,127.48,8.33,12.69,6.31,59.67,3.57,7.92,3.63,2313,華通,電子零組件業,2016_2313
2016,335.21,305.7,2.45,9.68,5.75,37.93,0.96,0.52,0.57,2316,楠梓電,電子零組件業,2016_2316
2016,129.47,109.22,26.15,24.51,4.32,53.87,13.53,15.99,8.22,2327,國巨,電子零組件業,2016_2327
2016,183.94,159.59,95.26,7.92,10.38,38.03,6.88,11.06,6.83,2328,廣宇,電子零組件業,2016_2328
2016,183.44,136.27,89.67,18.31,5.46,36.15,10.26,15.35,9.96,2355,敬鵬,電子零組件業,2016_2355
2016,109.25,87.2,-7.46,6.22,9.74,58.18,-5.66,-7.91,-3.23,2367,燿華,電子零組件業,2016_2367
2016,130.38,105.81,1.74,13.67,6.71,67.38,0.75,2.01,1.54,2368,金像電,電子零組件業,2016_2368
2016,246.78,211.58,-4.7,15.46,6.66,32.08,-5.67,-6.57,-3.57,2375,凱美,電子零組件業,2016_2375
2016,195.01,166.38,144.95,26.12,8.44,45.34,12.57,27.46,15.12,2383,台光電,電子零組件業,2016_2383
2016,120.44,89.3,69.72,17.55,6.44,55.64,5.59,15.75,7.09,2385,群光,電子零組件業,2016_2385
2016,111.21,81.63,4.63,10.19,7.67,60.16,0.85,2.72,1.36,2392,正崴,電子零組件業,2016_2392
2016,167.18,145.92,1.94,5.6,8.04,37.94,0.5,0.45,0.58,2402,毅嘉,電子零組件業,2016_2402
2016,144.62,97.36,3.51,16.2,4.35,54.02,0.52,1.06,0.66,2413,環科,電子零組件業,2016_2413
2016,144.61,122.24,6.45,30.98,4.84,52.05,8.74,11.07,6.02,2415,錩新,電子零組件業,2016_2415
2016,140.27,111.7,19.21,39.47,2.77,56.88,18.03,19.34,9.3,2420,新巨,電子零組件業,2016_2420
2016,153.36,117.74,46.12,22.43,5.81,51.53,5.41,14.34,7.44,2421,建準,電子零組件業,2016_2421
2016,307.88,247.1,608.39,31.04,3.76,31.3,16.5,18.26,12.99,2428,興勤,電子零組件業,2016_2428
2016,193.53,149.4,546.59,13.1,5.08,40.62,3.2,5.81,3.5,2431,聯昌,電子零組件業,2016_2431
2016,124.08,107.6,2.04,9.94,10.46,48.93,0.4,0.81,0.81,2440,太空梭,電子零組件業,2016_2440
2016,123.41,95.74,-6.62,12.05,6.53,57.13,-2.65,-5.67,-2.27,2457,飛宏,電子零組件業,2016_2457
2016,169.28,139.01,2.95,13.48,4.76,56.37,1.24,1.55,1.1,2460,建通,電子零組件業,2016_2460
2016,226.52,194.56,34.23,13.04,7.45,45.74,3.56,6.17,3.37,2462,良得電,電子零組件業,2016_2462
2016,153.35,121.19,7.54,29.92,3.23,62.17,5.15,9.69,4.2,2467,志聖,電子零組件業,2016_2467
2016,172.93,142.5,20.83,24.71,5.24,42.35,8.84,11.13,6.79,2472,立隆電,電子零組件業,2016_2472
2016,346.68,302.95,207.15,29.93,5.22,27.91,11.54,11.1,8.25,2476,鉅祥,電子零組件業,2016_2476
2016,248.14,164.19,51.54,19.3,2.74,32.71,6.17,4.82,3.48,2478,大毅,電子零組件業,2016_2478
2016,391.25,329,501.19,29.43,4.29,16.23,11.18,7.55,6.46,2483,百容,電子零組件業,2016_2483
2016,416.68,331.24,31.95,20.32,5.1,28.32,8.09,8.21,5.92,2484,希華,電子零組件業,2016_2484
2016,184.8,146.31,30.56,23.63,4.31,43.66,12.42,14.49,8.63,2492,華新科,電子零組件業,2016_2492
2016,351.54,256.21,9327.9,32.41,2.53,25.67,14.11,14.8,10.83,2493,揚博,電子零組件業,2016_2493
2016,389.8,309.39,62.73,35.7,2.15,26.78,13.13,9.4,7.13,3003,健和興,電子零組件業,2016_3003
2016,210.17,168.66,3.76,12.8,5.24,34.47,0.17,0.22,0.19,3011,今皓,電子零組件業,2016_3011
2016,165.92,128.32,107.25,11.74,6.24,42.34,2.13,3.81,2.26,3015,全漢,電子零組件業,2016_3015
2016,199.26,156.31,18.41,23.82,4.16,40.75,5.54,9.07,5.65,3021,鴻名,電子零組件業,2016_3021
2016,174.54,132.84,57.74,24.83,4.55,47.85,8.99,20.35,10.65,3023,信邦,電子零組件業,2016_3023
2016,263.01,209.63,29.18,14.47,6.41,28.33,2.57,3.79,2.86,3026,禾伸堂,電子零組件業,2016_3026
2016,226.46,195.56,48.61,20.11,6.36,53.17,7.63,17.31,8.72,3032,偉訓,電子零組件業,2016_3032
2016,150.73,131.22,2.39,9.43,10.29,52.12,0.41,0.54,0.44,3037,欣興,電子零組件業,2016_3037
2016,279.4,231.24,43.49,26.5,4.64,34.15,10.52,9.88,6.82,3042,晶技,電子零組件業,2016_3042
2016,154.79,140.72,30.28,17.97,8.1,53.29,8.21,12.04,5.87,3044,健鼎,電子零組件業,2016_3044
2016,133.44,98.61,13.24,15.3,5.87,49.16,1.9,3.62,2.07,3058,立德,電子零組件業,2016_3058
2016,158.33,115.24,18.85,14.62,4.78,57.99,4.6,13.3,6.16,3090,日電貿,電子零組件業,2016_3090
2016,168.85,123.06,37.21,28.51,3.98,49.42,10.36,21.88,11.05,3092,鴻碩,電子零組件業,2016_3092
2016,225.42,216.4,-45.61,15.26,13.51,33.59,-49.45,-24.26,-16.47,3229,晟鈦,電子零組件業,2016_3229
2016,286.93,244.61,48358,18.99,7.1,31.47,4.49,7.18,5,3296,勝德,電子零組件業,2016_3296
2016,194.73,163.11,2.38,15.67,2.84,54.89,-1.76,-1.75,-1.32,3308,聯德,電子零組件業,2016_3308
2016,147.49,125.07,-15.62,6.06,11.3,63.72,-9.39,-16.3,-6.82,3321,同泰,電子零組件業,2016_3321
2016,179.82,154.94,54.42,24.33,7.01,57.31,6.5,17.1,7.68,3338,泰碩,電子零組件業,2016_3338
2016,219.1,196.93,52.54,27.34,7.06,27.01,13.52,9.33,6.73,3376,新日興,電子零組件業,2016_3376
2016,399.73,389.45,2.32,31.96,6.77,24.59,1.77,0.5,0.65,3432,台端,電子零組件業,2016_3432
2016,368.68,284.15,355.77,32.08,2.87,21.87,14.28,12.48,9.78,3501,維熹,電子零組件業,2016_3501
2016,287.81,224.5,-30.9,31.79,4.27,23.89,7.3,8.06,5.87,3533,嘉澤,電子零組件業,2016_3533
2016,299.42,270.59,17.03,21.86,9.4,41.62,3.22,5,3.18,3550,聯穎,電子零組件業,2016_3550
2016,64.84,55.27,-7.34,8.66,8.28,59.7,-23.59,-21.1,-8.63,3593,力銘,電子零組件業,2016_3593
2016,239.62,200.16,15.29,23.52,5.67,40.07,3.96,4.81,2.94,3605,宏致,電子零組件業,2016_3605
2016,320.14,284.06,-10.83,7.55,8.83,42.65,-5.55,-5.08,-2.81,3607,谷崧,電子零組件業,2016_3607
2016,166.99,124.62,14.95,29.44,3.15,36.55,11.8,9.81,6.41,3645,達邁,電子零組件業,2016_3645
2016,450.09,335.16,170.34,24.15,3.02,15.91,7.2,5.62,4.79,3653,健策,電子零組件業,2016_3653
2016,410.37,382.56,51.62,26.04,7.37,36.33,14.55,12.55,8.19,3679,新至陞,電子零組件業,2016_3679
2016,154.3,122.26,23.13,23.42,6.5,52.92,3.13,6.03,3.24,4912,聯德控股-KY,電子零組件業,2016_4912
2016,121.92,92.67,29.01,11.3,8.14,67.02,3.18,16.28,5.38,4915,致伸,電子零組件業,2016_4915
2016,92.12,62.54,4.59,14.94,5.35,63.4,3.2,6.78,3.27,4927,泰鼎-KY,電子零組件業,2016_4927
2016,129.59,114.18,13.55,15.22,10.64,59.72,4.19,8.59,4.01,4958,臻鼎-KY,電子零組件業,2016_4958
2016,347.74,312.63,296.1,35.87,6.25,24.23,18.37,15.53,12.06,4999,鑫禾,電子零組件業,2016_4999
2016,146.15,126.17,5,13.03,7.73,61.82,3.19,6.24,2.91,5469,瀚宇博,電子零組件業,2016_5469
2016,141.12,123.59,8.62,16.8,9.24,64.42,5.88,13.78,5.54,6108,競國,電子零組件業,2016_6108
2016,236.68,220.52,62.91,24.06,11.39,38.84,10.49,14.06,8.96,6115,鎰勝,電子零組件業,2016_6115
2016,536.45,460.88,1155.38,22.95,4.74,14.03,1.05,0.73,0.63,6133,金橋,電子零組件業,2016_6133
2016,83.29,70.26,-0.93,10.44,10.26,60.28,-4.55,-7.99,-1.58,6141,柏承,電子零組件業,2016_6141
2016,139.79,122.03,12.15,12.28,7.7,50.12,0.53,0.92,0.51,6153,嘉聯益,電子零組件業,2016_6153
2016,207.48,187.32,16.44,26.91,3.39,32.67,12.84,5.8,4.03,6155,鈞寶,電子零組件業,2016_6155
2016,152.06,122.87,5.36,11.32,6.9,54.3,2.47,4.89,2.73,6191,精成科,電子零組件業,2016_6191
2016,317.92,262.05,244413,19.94,5.12,27.34,8.32,11.3,8.3,6197,佳必琪,電子零組件業,2016_6197
2016,274.97,253.04,3354.86,31.77,9.43,31.1,11.81,14.29,9.96,6205,詮欣,電子零組件業,2016_6205
2016,148.47,135.75,30.53,14.56,15.27,61.65,4.84,13.71,5.61,6213,聯茂,電子零組件業,2016_6213
2016,380.54,315.66,39383.5,49.43,3.12,18.31,23.93,18.94,15.53,6224,聚鼎,電子零組件業,2016_6224
2016,294.68,260.47,90.49,23.77,7.7,33.96,11.91,14.81,10.13,6269,台郡,電子零組件業,2016_6269
2016,179.3,140.74,2316.37,16.09,6.52,45.69,2.78,6.3,3.43,6282,康舒,電子零組件業,2016_6282
2016,130.88,97.36,46.03,16.7,6.28,63.26,4.88,19.41,7.25,6412,群電,電子零組件業,2016_6412
