判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,,,,,,
4737,5.07,1.82,44.06,2.99,-1,4737,,,,,,
6205,7.56,1.9,30.7,2.03,-1,6205,,,,,,
3011,-4.24,-0.44,10.39,0.25,-1,3011,,,,,,
3047,2.28,-0.11,24.83,2.25,-1,3047,,,,,,
8021,6.26,1.93,29.74,4.83,-1,8021,,,,,,
6442,2.5,0.75,17.44,2.46,-1,6442,,,,,,
9902,3.04,0.39,5.14,3.15,-1,9902,,,,,,
1465,7.99,0.43,9.22,4.23,-1,1465,,,,,,
3149,-7.51,-0.57,-0.35,3.27,-1,3149,,,,,,
1313,6.4,1.16,6.24,5.04,-1,1313,,,,,,
3346,7.92,1.64,17.02,3.77,-1,3346,,,,,,
1734,-4.48,-0.01,37.54,0.55,-1,1734,,,,,,
4956,0.19,0.04,17.28,3.02,-1,4956,,,,,,
6209,-3.93,-0.85,5.26,3.1,-1,6209,,,,,,
3591,-1.75,-0.46,18.19,1.61,-1,3591,,,,,,
5531,0.78,0.09,32.3,0,-1,5531,,,,,,
2913,-0.96,-0.17,38.11,2.36,-1,2913,,,,,,
3454,8.86,3.49,32.71,1.94,-1,3454,,,,,,
6585,4.11,1.55,20.03,3.37,-1,6585,,,,,,
2017,3.83,0.61,13.62,2.99,-1,2017,,,,,,
2516,-8.91,-0.92,-2.15,4.85,-1,2516,,,,,,
2530,-1.71,-0.22,48.64,3.79,-1,2530,,,,,,
2032,3.75,0.49,5.59,2.26,-1,2032,,,,,,
6191,8.48,2.62,15.28,2.87,-1,6191,,,,,,
1504,6.14,1.8,23.94,3.6,-1,1504,,,,,,
3588,6.58,1.88,35.69,2.12,-1,3588,,,,,,
2543,-0.29,-0.06,0.65,1.28,-1,2543,,,,,,
1339,6.77,3.27,28.15,4.64,-1,1339,,,,,,
2009,3.31,0.42,2.85,2.97,-1,2009,,,,,,
2106,4.11,0.88,20.6,2.8,-1,2106,,,,,,
2363,-2.25,-0.28,33.86,3.12,-1,2363,,,,,,
2515,3.98,0.55,7.97,2.94,-1,2515,,,,,,
1437,7.49,2.23,69.77,2.96,-1,1437,,,,,,
1568,4.54,0.69,12.8,1.76,-1,1568,,,,,,
1219,4.47,0.79,8.7,2.79,-1,1219,,,,,,
1713,4.6,0.71,13.16,2.61,-1,1713,,,,,,
1321,3.18,0.9,6.71,0.94,-1,1321,,,,,,
1809,-0.81,-0.09,19.01,1.72,-1,1809,,,,,,
6431,-11.05,-1.07,-16.3,4.8,-1,6431,,,,,,
1413,7.79,0.56,4.13,0,-1,1413,,,,,,
2303,8.17,1.84,20.69,3.41,-1,2303,,,,,,
2906,3.87,0.25,24.05,2.1,-1,2906,,,,,,
2338,9.96,2.37,19.99,1.57,-1,2338,,,,,,
2010,4.74,0.81,6.73,4.02,-1,2010,,,,,,
1722,4.51,2.34,21.9,3.75,-1,1722,,,,,,
3494,-24.66,-1.87,5.05,4.57,-1,3494,,,,,,
3016,5.37,0.76,11.54,0.76,-1,3016,,,,,,
6477,9.77,1.87,20.58,1.4,-1,6477,,,,,,
1517,4.34,0.61,13.63,1.48,-1,1517,,,,,,
3536,-35.53,-1.17,6.74,0,-1,3536,,,,,,
2511,4.61,0.72,25,4.58,-1,2511,,,,,,
1457,8.16,1.89,11.57,3.89,-1,1457,,,,,,
3050,4.88,0.74,34.66,3.28,-1,3050,,,,,,
2618,6.23,0.87,13.21,1.06,-1,2618,,,,,,
1472,-29.36,-2.26,7.4,0,-1,1472,,,,,,
3535,1.4,0.17,25.06,2.5,-1,3535,,,,,,
1218,9.53,1.22,17.74,2.52,-1,1218,,,,,,
2405,-0.13,-0.02,25.12,1.73,-1,2405,,,,,,
4108,-8.82,-0.87,51.72,0,-1,4108,,,,,,
2506,0.99,0.05,41.23,1.83,-1,2506,,,,,,
8429,0.77,0.33,9.29,2.81,-1,8429,,,,,,
3025,4.35,0.5,48.73,2.44,-1,3025,,,,,,
3046,-6.52,-0.95,24.68,0.19,-1,3046,,,,,,
3543,-0.32,-0.07,13.57,4.24,-1,3543,,,,,,
5906,8.42,1.02,57.25,1.72,-1,5906,,,,,,
3052,4.47,0.66,5.43,4.93,-1,3052,,,,,,
1423,4.52,0.86,-16.51,4.56,-1,1423,,,,,,
6271,9.63,7.98,26.69,2.84,-1,6271,,,,,,
2305,5.45,0.52,32.17,0,-1,2305,,,,,,
1233,7.91,1.34,57.08,4.39,-1,1233,,,,,,
2402,1.48,0.28,9.32,4.5,-1,2402,,,,,,
1721,4.47,0.48,7.34,1.66,-1,1721,,,,,,
2349,-10.62,-1.19,9.03,0,-1,2349,,,,,,
2504,9.62,1.5,11.24,3.47,-1,2504,,,,,,
2443,-32.98,-1.98,-9.78,0,-1,2443,,,,,,
1587,5.4,1.01,22.96,2.65,-1,1587,,,,,,
4994,6.02,0.89,62.59,3.45,-1,4994,,,,,,
1506,-16.45,-1.1,8.88,0,-1,1506,,,,,,
2484,7.05,1.4,21.48,3.1,-1,2484,,,,,,
1467,-1.46,-0.16,20.02,3.39,-1,1467,,,,,,
2427,5.21,0.62,29.42,2.62,-1,2427,,,,,,
2029,5.22,1.49,9.82,4.05,-1,2029,,,,,,
3002,2.31,0.33,26.51,2.63,-1,3002,,,,,,
1446,-1.13,-0.13,19.03,0.82,-1,1446,,,,,,
1519,7.77,1,14.05,1.99,-1,1519,,,,,,
1514,8.45,1.24,16.51,2.15,-1,1514,,,,,,
3550,4.7,1.06,18.67,5.07,-1,3550,,,,,,
1451,1.03,0.34,6.65,5.18,-1,1451,,,,,,
1776,6.4,0.88,17.1,6.23,-1,1776,,,,,,
6152,-8.4,-0.89,13.15,14.95,-1,6152,,,,,,
2498,-12.4,-5.66,16.53,26.23,-1,2498,,,,,,
2316,4.89,1.79,6.69,6.19,-1,2316,,,,,,
3266,1.55,0.33,18.23,6.05,-1,3266,,,,,,
2204,5.69,3.39,16.53,7.46,-1,2204,,,,,,
1710,4.84,0.77,8.14,5.21,-1,1710,,,,,,
1452,8.16,1.56,15.33,7.18,-1,1452,,,,,,
2392,4.13,2.77,10.25,5.49,-1,2392,,,,,,
2324,8.35,2,3.39,6.26,-1,2324,,,,,,
1909,7.11,1.48,16.05,5.74,-1,1909,,,,,,
1512,-71.55,-1.47,3.53,6.12,-1,1512,,,,,,
9905,7.27,1.75,14.13,5.3,-1,9905,,,,,,
1530,8.65,2.36,18.49,5.42,-1,1530,,,,,,
3060,-4.96,-1.04,7.67,9.5,-1,3060,,,,,,
1340,-1.69,-0.24,-13,9.4,-1,1340,,,,,,
3607,-13.63,-4.07,0.96,9.13,-1,3607,,,,,,
3673,2.97,2.57,4.42,6.18,-1,3673,,,,,,
1314,5.13,1.21,9.95,6.8,-1,1314,,,,,,
1626,0.68,0.19,16.38,5.23,-1,1626,,,,,,
2929,-1.56,1.7,12.22,29.47,-1,2929,,,,,,
2353,8.39,1.69,10.89,5.56,-1,2353,,,,,,
2034,9.91,1.93,11.24,5.32,-1,2034,,,,,,
2485,-1.14,-0.19,6.19,6.72,-1,2485,,,,,,
2356,9.33,1.83,4.61,6.55,-1,2356,,,,,,
2489,6.82,1.22,9.76,11.48,-1,2489,,,,,,
1108,1.71,0.21,8.77,5.47,-1,1108,,,,,,
1608,6.86,1.1,5.16,6.14,-1,1608,,,,,,
4930,4.45,0.66,15.68,10.23,-1,4930,,,,,,
1439,6.67,1.68,1.5,6.72,-1,1439,,,,,,
6108,7.14,1.68,13.95,8.54,-1,6108,,,,,,
2537,1.44,0.2,19.87,8.6,-1,2537,,,,,,
8249,5.71,1.54,13.49,6.06,-1,8249,,,,,,
3015,3.94,2.06,11.95,5.43,-1,3015,,,,,,
4532,8.43,1.62,13.37,5.3,-1,4532,,,,,,
5706,11.23,2,19.6,2,-1,5706,,,,,,
6278,14.39,6.5,11.19,3.22,-1,6278,,,,,,
2247,10.21,12.79,11.81,4.59,-1,2247,,,,,,
9937,15.09,2.44,11.49,4.2,-1,9937,,,,,,
2301,11.79,3.78,15.46,3.67,-1,2301,,,,,,
9930,15.71,3.19,15.57,4.03,-1,9930,,,,,,
2351,11.94,3.56,17.99,2.02,-1,2351,,,,,,
6416,15.27,4.72,19.95,3.21,-1,6416,,,,,,
2352,13.25,2.66,13.25,4.79,-1,2352,,,,,,
4967,12.35,1.8,7.04,3.58,-1,4967,,,,,,
4915,14.84,4.6,12.2,4.07,-1,4915,,,,,,
5285,13.56,3.47,17.24,3.89,-1,5285,,,,,,
2313,15.24,3.29,16.66,2.53,-1,2313,,,,,,
9931,10.13,1.91,18.19,2.9,-1,9931,,,,,,
1225,10.42,1.53,9.28,2.57,-1,1225,,,,,,
6285,10.64,4.33,11.87,3.44,-1,6285,,,,,,
1315,13.36,7.55,16.17,4.41,-1,1315,,,,,,
5288,19.29,8.55,18.21,2.78,-1,5288,,,,,,
1210,12.03,3.05,13.62,4.11,-1,1210,,,,,,
6141,13.18,2.14,17.38,2.18,-1,6141,,,,,,
6669,48.52,36.97,6.81,2.62,-1,6669,,,,,,
1808,17.52,3.44,19.95,4.49,-1,1808,,,,,,
1615,14.56,2.24,13.05,4.24,-1,1615,,,,,,
2006,10.32,2.73,12.22,4.41,-1,2006,,,,,,
2012,11.96,1.56,16.37,3.95,-1,2012,,,,,,
6282,10.91,1.83,15.41,3.6,-1,6282,,,,,,
9914,18.33,9.13,13.3,2.4,-1,9914,,,,,,
6552,11.43,2.59,18.75,4.14,-1,6552,,,,,,
9935,13.16,1.36,18.58,2.56,-1,9935,,,,,,
8215,11.47,1.54,15.84,2.74,-1,8215,,,,,,
3596,11.5,6.33,13.57,4.11,-1,3596,,,,,,
8454,27.85,12.25,10.09,1.42,-1,8454,,,,,,
4439,23.37,12.12,17.48,3.39,-1,4439,,,,,,
6196,14.98,5.01,11.28,2.68,-1,6196,,,,,,
1309,18.21,2.76,11.11,4.24,-1,1309,,,,,,
3010,14.31,7.62,8.27,4.62,-1,3010,,,,,,
2345,33.7,7.29,19.57,1.98,-1,2345,,,,,,
4927,12.9,4.81,17.59,4.59,-1,4927,,,,,,
5434,18.27,9.44,12.13,3.99,-1,5434,,,,,,
1232,25.42,6.54,11.65,3.45,-1,1232,,,,,,
9802,13.25,6,19.3,1.4,-1,9802,,,,,,
3703,3703,欣陸,5.06,1.51,12.96,3.09,0,1,0,0,1,-1
1449,1449,佳和,-7.07,-0.34,7.13,0,0,0,0,0,0,-1
4540,4540,全球傳動,9.1,2.45,25.19,3.22,0,1,1,0,2,-1
1617,1617,榮星,8.87,1.08,13.25,4.33,0,1,0,0,1,-1
2038,2038,海光,0.71,0.2,2.22,3.16,0,1,0,0,1,-1
2514,2514,龍邦,9.03,1.97,32.1,1.6,0,1,1,0,2,-1
2910,2910,統領,4.15,0.55,65.7,1.89,0,1,1,0,2,-1
3432,3432,台端,5.34,1.18,34.76,1.7,0,1,1,0,2,-1
1522,1522,堤維西,7.37,1.56,21.12,3.69,0,1,1,0,2,-1
2613,2613,中櫃,2.6,0.64,11.68,2.14,0,1,0,0,1,-1
1418,1418,東華,-60.82,-4.53,-113.93,0,0,0,0,0,0,-1
2417,2417,圓剛,8.29,1.29,50.78,1.97,0,1,1,0,2,-1
2712,2712,遠雄來,0.72,0.09,27.4,1.87,0,1,1,0,2,-1
1236,1236,宏亞,0.09,0.01,26.96,1.27,0,1,1,0,2,-1
2634,2634,漢翔,9.76,1.42,10.91,2.33,0,1,0,0,1,-1
2704,2704,國賓,2.34,0.63,32.86,1.8,0,1,1,0,2,-1
1410,1410,南染,7.1,1.18,37.42,2.86,0,1,1,0,2,-1
5258,5258,虹堡,2.78,0.15,27.1,1.2,0,1,1,0,2,-1
2329,2329,華泰,2.23,0.35,7.67,1.29,0,1,0,0,1,-1
3004,3004,豐達科,9.66,3.04,23.98,2.41,0,1,1,0,2,-1
3024,3024,憶聲,3.63,0.35,22,1.52,0,1,1,0,2,-1
2344,2344,華邦電,9.29,1.5,33.79,3.11,0,1,1,0,2,-1
2359,2359,所羅門,4.09,1.03,20.42,3.28,0,1,1,0,2,-1
2466,2466,冠西電,1.11,0.12,10.92,0,0,1,0,0,1,-1
1217,1217,愛之味,2.25,0.27,31.77,0.62,0,1,1,0,2,-1
1795,1795,美時,7.58,2.59,46.1,0.35,0,1,1,0,2,-1
3308,3308,聯德,-9.7,-0.87,4.96,0.99,0,0,0,0,0,-1
3481,3481,群創,6.14,1.57,13.33,3.98,0,1,0,0,1,-1
2062,2062,橋椿,2.65,0.89,12.86,1.11,0,1,0,0,1,-1
2540,2540,愛山林,9.63,3.19,39.99,0.6,0,1,1,0,2,-1
3164,3164,景岳,5.87,0.99,65.79,3.45,0,1,1,0,2,-1
3419,3419,譁裕,-0.73,-0.08,19.58,1.1,0,0,0,0,0,-1
4133,4133,亞諾法,2.86,0.57,45.38,1.14,0,1,1,0,2,-1
1725,1725,元禎,7.25,1.32,4.71,4.01,0,1,0,0,1,-1
1528,1528,恩德,-0.13,-0.02,26.65,1.83,0,0,1,0,1,-1
3055,3055,蔚華科,-2.11,-0.56,17.86,2.05,0,0,0,0,0,-1
6598,6598,ABC-KY,-47.61,-3.69,50.63,0,0,0,1,0,1,-1
1516,1516,川飛,6.87,0.8,3.94,1.6,0,1,0,0,1,-1
1529,1529,樂士,7.89,0.61,20.35,1.61,0,1,1,0,2,-1
3311,3311,閎暉,-3.42,-1.21,13.3,3.85,0,0,0,0,0,-1
1473,1473,台南,-1.86,-0.33,12.8,1.71,0,0,0,0,0,-1
1470,1470,大統新創,5.55,0.62,21.86,3.04,0,1,1,0,2,-1
2434,2434,統懋,-31.59,-1.73,-28.21,0,0,0,0,0,0,-1
4746,4746,台耀,6.13,3.86,33.03,3.22,0,1,1,0,2,-1
1475,1475,業旺,-14.64,-2.74,-16.81,0,0,0,0,0,0,-1
2637,2637,慧洋-KY,8.61,3.64,26.01,4.14,0,1,1,0,2,-1
1324,1324,地球,1.63,0.22,15.98,2.56,0,1,0,0,1,-1
2426,2426,鼎元,9.28,1.3,19.3,4.53,0,1,0,0,1,-1
1731,1731,美吾華,6.59,0.9,58.27,4.13,0,1,1,0,2,-1
3043,3043,科風,-36.34,-0.01,21.16,3.08,0,0,1,0,1,-1
6605,6605,帝寶,6.39,5.2,25.74,2.33,0,1,1,0,2,-1
4576,4576,大銀微系統,6.49,1.52,34.6,0.53,0,1,1,0,2,-1
4545,4545,銘鈺,1.1,0.24,20.74,1.72,0,1,1,0,2,-1
1220,1220,台榮,5.92,0.74,13.71,4.44,0,1,0,0,1,-1
1104,1104,環泥,6.66,1.82,14.24,4.79,0,1,0,0,1,-1
2601,2601,益航,3.63,0.62,66.18,3.29,0,1,1,0,2,-1
2314,2314,台揚,-3.21,-0.28,15.39,0.2,0,0,0,0,0,-1
2903,2903,遠百,5.27,1.11,50.49,4.58,0,1,1,0,2,-1
8488,8488,吉源-KY,0.8,0.3,9.4,3.46,0,1,0,0,1,-1
